98 (43.6853550, -88.0213250)
202 (43.6852939, -88.0225883)
245 (43.6854323, -88.0229944)
292 (43.6854779, -88.0235821)
314 (43.6853089, -88.0238547)
334 (43.6853371, -88.0240424)
338 (43.6853068, -88.0241397)
330 (43.6850168, -88.0240797)
325 43.684535, -88.023956
313 43.684012, -88.023586
310 43.684119, -88.023657
240 43.684362, -88.022900
228 43.684352, -88.022768
229 43.684349, -88.022556
216 43.684055, -88.022411
218 43.683867, -88.022244
245 43.683571, -88.022258
283 43.683034, -88.022154
205 43.683448, -88.021461
178 43.683875, -88.021566
142 43.684382, -88.021722

43.685683, -88.023469
 43.685497, -88.023600
 43.685082, -88.023434
 43.684908, -88.022922
 43.684478, -88.023194
 43.684372, -88.022925
 43.684307, -88.022625
 43.684259, -88.022244
 43.684119, -88.022052
 43.683967, -88.021844
